Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot5,"Arnoldo",normal,55,Failed,"Boss Hunter (bossTagilla)","Spawn Point (-70.5 27.1 -286.8)","1","12:20:40","12:21:01",
Bot5,"Arnoldo",normal,55,Failed,"Boss Hunter (bossTagilla)","Spawn Point (7.0 27.1 -238.9)","1","12:21:06","12:22:33",
Bot5,"Arnoldo",normal,55,Completed,"Boss Hunter (bossTagilla)","Spawn Point (-35.6 27.3 -194.6)","1","12:22:38","12:24:31",
Bot5,"Arnoldo",normal,55,Completed,"Boss Hunter (bossTagilla)","Spawn Point (-70.5 27.1 -261.7)","1","12:24:36","12:25:30",
Bot5,"Arnoldo",normal,55,Completed,"Boss Hunter (bossTagilla)","Spawn Point (-51.9 27.1 -204.1)","1","12:25:36","12:26:06",
Bot5,"Arnoldo",normal,55,Completed,"Goshan North Office","Goshan North Office: Objective #2","1","12:26:12","12:27:50",
Bot5,"Arnoldo",normal,55,Failed,"Goshan North Office","Goshan North Office: Objective #1","2","12:27:55","12:33:23",
Bot6,"Emerson",normal,55,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","12:20:41","12:21:57",
Bot6,"Emerson",normal,55,Active,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:21:58","N/A",
Bot7,"Jon",normal,31,Failed,"Minibus","Zone place_merch_21_1","1","12:20:41","12:27:52",
Bot8,"Chris",normal,47,Failed,"Minibus","Zone place_merch_21_2","1","12:20:41","12:22:44",
Bot8,"Chris",normal,47,Failed,"Minibus","Zone place_merch_21_3","1","12:23:14","12:32:12",
Bot9,"Glen",normal,10,Failed,"Fragile Shipment","Zone place_merch_022_5","1","12:20:42","12:24:15",
Bot11,"Леонтий",normal,19,Completed,"Railway Area","Railway Area: Objective #2","1","12:20:42","12:20:52",
Bot11,"Леонтий",normal,19,Completed,"Railway Area","Railway Area: Objective #1","1","12:20:57","12:21:13",
Bot11,"Леонтий",normal,19,Completed,"Railway Area","Railway Area: Objective #3","1","12:21:18","12:21:44",
Bot11,"Леонтий",normal,19,Completed,"Railway Area","Railway Area: Objective #4","1","12:21:49","12:22:08",
Bot11,"Леонтий",normal,19,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","12:22:13","12:29:41",
Bot12,"Егор",normal,6,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","12:20:42","12:21:16",
Bot12,"Егор",normal,6,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","12:21:21","12:22:18",
Bot12,"Егор",normal,6,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","12:22:23","12:22:39",
Bot12,"Егор",normal,6,Active,"Railway Stashes","Railway Stashes: Objective #4","1","12:22:44","N/A",
Bot13,"Захар",normal,44,Active,"Vitamins - Part 1","Item Chemical container #2","1","12:20:42","N/A",
Bot10,"Ян",normal,42,Completed,"Railway Area","Railway Area: Objective #2","1","12:20:42","12:20:52",
Bot10,"Ян",normal,42,Completed,"Railway Area","Railway Area: Objective #1","1","12:20:57","12:21:51",
Bot10,"Ян",normal,42,Completed,"Railway Area","Railway Area: Objective #3","1","12:21:56","12:22:25",
Bot10,"Ян",normal,42,Completed,"Railway Area","Railway Area: Objective #4","1","12:22:30","12:22:50",
Bot10,"Ян",normal,42,Active,"Hot Delivery","Zone place_merch_020_2","1","12:22:55","N/A",
Bot18,"Bradford",normal,44,Completed,"Hot Delivery","Zone place_merch_020_1","2","12:26:17","12:28:54",
Bot18,"Bradford",normal,44,Failed,"Hot Delivery","Zone place_merch_020_2","1","12:29:00","12:29:47",
Bot17,"Kory",normal,17,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","12:26:17","12:26:31",
Bot17,"Kory",normal,17,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","12:27:01","12:38:29",
Bot17,"Kory",normal,17,Failed,"IDEA Office","IDEA Office: Objective #3","1","12:38:59","12:39:54",
Bot17,"Kory",normal,17,Failed,"IDEA Office","IDEA Office: Objective #2","1","12:39:59","12:40:13",
Bot17,"Kory",normal,17,Completed,"IDEA Office","IDEA Office: Objective #1","2","12:40:18","12:42:21",
Bot17,"Kory",normal,17,Pending,"IDEA 2nd Floor","IDEA 2nd Floor: Objective #1","1","12:42:26","N/A",
Bot19,"Фома Фикус (Dick)",normal,1,Completed,"Techlight","Techlight: Objective #2","3","12:26:25","12:29:40",
Bot19,"Фома Фикус (Dick)",normal,1,Completed,"Techlight","Techlight: Objective #1","3","12:29:45","12:30:19",
Bot19,"Фома Фикус (Dick)",normal,1,Failed,"Generic","Generic: Objective #1","1","12:30:24","12:30:53",
Bot22,"Аскольд",normal,15,Failed,"Big Sale","Zone place_SALE_03_TREND","1","12:27:24","12:29:28",
Bot21,"Феликс",normal,43,Failed,"Hot Delivery","Zone place_merch_020_1","1","12:27:25","12:28:18",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"Mantis","Mantis: Objective #2","1","12:32:24","12:33:45",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"Mantis","Mantis: Objective #3","1","12:33:50","12:33:59",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"Mantis","Mantis: Objective #4","1","12:34:04","12:34:14",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"Mantis","Mantis: Objective #1","1","12:34:19","12:34:31",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"German","German: Objective #1","1","12:34:36","12:34:45",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","12:34:50","12:36:12",
Bot26,"Никитка Пятёра (Prince)",normal,1,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","2","12:36:17","12:36:38",
Bot31,"Всеволод",normal,33,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","12:34:38","12:35:52",
Bot31,"Всеволод",normal,33,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:35:53","12:37:34",
Bot32,"Никита",normal,42,Failed,"Irresistible","Item Stolen weapon case","1","12:34:38","12:40:05",
Bot32,"Никита",normal,42,Failed,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #2","1","12:40:10","12:41:19",
Bot32,"Никита",normal,42,Active,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #3","1","12:41:24","N/A",
Bot39,"Филипп Квейк (Nicholas)",normal,1,Pending,"TTS","TTS: Objective #1","1","12:39:24","N/A",
