Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot24,"Архипп",normal,48,Completed,"Chalet Kayak Storage","Chalet Kayak Storage: Objective #1","1","09:23:17","09:24:47",
Bot24,"Архипп",normal,48,Completed,"Lost Contact","Zone qlight_find_scav_group1","1","09:24:52","09:25:22",
Bot24,"Архипп",normal,48,Failed,"Missing Cargo","Item Stolen military documents","1","09:25:27","09:26:11",
Bot25,"Аристарх",normal,29,Failed,"Overpopulation","Zone qlight_pc1_ucot_kill","1","09:23:18","09:23:56",
Bot25,"Аристарх",normal,29,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","09:24:56","09:26:02",
Bot25,"Аристарх",normal,29,Completed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","09:26:07","09:27:06",
Bot25,"Аристарх",normal,29,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","09:27:36","09:36:41",
Bot26,"Илья",normal,23,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","09:23:18","09:37:03",
Bot27,"Захар",normal,34,Completed,"Is This a Reference?","Zone zone_ball","2","09:23:19","09:23:37",
Bot27,"Захар",normal,34,Failed,"Is This a Reference?","Zone zone_bonfire","2","09:23:42","09:38:17",
Bot29,"Марк",normal,41,Completed,"Is This a Reference?","Zone zone_ball","2","09:23:19","09:48:40",
Bot29,"Марк",normal,41,Completed,"Is This a Reference?","Zone zone_bonfire","2","09:48:46","09:49:09",
Bot29,"Марк",normal,41,Completed,"Is This a Reference?","Zone zone_welcome_silient_hill","2","09:49:14","09:50:22",
Bot29,"Марк",normal,41,Pending,"Is This a Reference?","Zone zone_rick_and_morty","2","09:50:27","N/A",
Bot29,"Марк",normal,41,Completed,"Long Road Sniping","Long Road Sniping: Objective #1","2","09:54:38","09:55:42",
Bot29,"Марк",normal,41,Active,"Long Road Sniping","Long Road Sniping: Objective #3","1","09:55:47","N/A",
Bot28,"Трофим",normal,17,Failed,"Search Warrant","Item Laptop with information","1","09:23:19","09:40:29",
Bot31,"Руслан",normal,54,Completed,"Missing Cargo","Zone qlight_find_crushed_heli","1","09:23:20","09:24:25",
Bot31,"Руслан",normal,54,Failed,"Missing Cargo","Item Stolen military documents","1","09:24:30","09:26:11",
Bot30,"Всеволод",normal,44,Failed,"Is This a Reference?","Zone zone_rick_and_morty","2","09:23:20","09:28:15",
Bot30,"Всеволод",normal,44,Failed,"Is This a Reference?","Zone zone_ball","2","09:25:20","09:28:15",
Bot32,"Margarito",normal,6,Completed,"Radical Treatment","Zone Halloween_zone_for_antivirus(lighthouse)","2","09:23:22","09:25:05",
Bot32,"Margarito",normal,6,Completed,"Cabins","Cabins: Objective #4","1","09:25:10","09:25:25",
Bot32,"Margarito",normal,6,Failed,"Cabins","Cabins: Objective #1","1","09:25:30","09:26:05",
Bot32,"Margarito",normal,6,Completed,"Cabins","Cabins: Objective #2","1","09:26:10","09:26:27",
Bot32,"Margarito",normal,6,Completed,"Cabins Crashed Van","Cabins Crashed Van: Objective #1","1","09:26:33","09:27:16",
Bot32,"Margarito",normal,6,Failed,"Make Amends","Item Secure Flash drive V3","1","09:27:21","09:28:45",
Bot32,"Margarito",normal,6,Failed,"Make Amends","Zone meh_50_visit_area_check_1","1","09:28:50","09:30:02",
Bot41,"Сильвестр",normal,35,Completed,"Forester's Duty","Zone Marafon_kill_village_lighthouse","1","09:33:48","09:35:08",
Bot41,"Сильвестр",normal,35,Completed,"The Hermit","Zone qlight_hunt_fr_find","1","09:36:09","09:37:18",
Bot41,"Сильвестр",normal,35,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_1","1","09:37:23","09:42:24",
Bot42,"Матвей",normal,34,Failed,"Getting Acquainted","Item Secure Flash drive V3","1","09:33:48","09:42:07",
Bot48,"Клим",normal,33,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","09:37:27","09:45:23",
Bot48,"Клим",normal,33,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz2","1","09:39:46","09:45:23",
Bot47,"Игнатий",normal,45,Failed,"The Hermit","Zone qlight_hunt_fr_find","1","09:37:27","09:43:18",
Bot49,"Вячеслав",normal,42,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","09:37:27","09:44:23",
