Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot9,"Давид",normal,47,Completed,"Boss Hunter (bossGluhar)","Spawn Point (-140.2 -7.0 -35.5)","1","09:40:05","09:40:42",
Bot9,"Давид",normal,47,Active,"Boss Hunter (bossGluhar)","Spawn Point (-163.1 -6.2 -6.8)","1","09:40:47","N/A",
Bot8,"Савелий",normal,44,Failed,"Scav Lands South Building","Scav Lands South Building: Objective #1","1","09:40:05","09:40:19",
Bot8,"Савелий",normal,44,Completed,"BMP #1","BMP #1: Objective #1","1","09:40:25","09:40:59",
Bot8,"Савелий",normal,44,Completed,"Boss Hunter (bossGluhar)","Spawn Point (-10.3 -7.0 -186.0)","1","09:41:04","09:41:46",
Bot8,"Савелий",normal,44,Pending,"Boss Hunter (bossGluhar)","Spawn Point (33.4 -12.2 -142.6)","1","09:41:51","N/A",
Bot10,"Noe",normal,42,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","09:40:07","09:42:08",
Bot10,"Noe",normal,42,Failed,"Dome Buildings","Dome Buildings: Objective #2","1","09:42:13","09:42:56",
Bot10,"Noe",normal,42,Failed,"Dome Buildings","Dome Buildings: Objective #6","1","09:43:01","09:43:38",
Bot10,"Noe",normal,42,Active,"Dome Buildings","Dome Buildings: Objective #3","1","09:43:43","N/A",
Bot11,"Mohamed",normal,47,Active,"Is This a Reference?","Zone zone_grass_green","1","09:40:07","N/A",
Bot13,"Mason",normal,32,Completed,"Boss Hunter (bossGluhar)","Spawn Point (65.8 -6.8 -39.2)","1","09:40:08","09:40:46",
Bot13,"Mason",normal,32,Completed,"Boss Hunter (bossGluhar)","Spawn Point (104.8 -7.0 12.9)","1","09:40:51","09:42:05",
Bot13,"Mason",normal,32,Failed,"Boss Hunter (bossGluhar)","Spawn Point (73.4 -15.5 -38.3)","1","09:42:10","09:42:29",
Bot13,"Mason",normal,32,Completed,"Boss Hunter (bossGluhar)","Spawn Point (32.5 -6.8 -11.5)","1","09:42:34","09:42:52",
Bot13,"Mason",normal,32,Active,"Boss Hunter (bossGluhar)","Spawn Point (-29.7 -6.8 -12.5)","1","09:42:57","N/A",
Bot12,"Ray",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (65.8 -6.8 -39.2)","1","09:40:09","09:40:38",
Bot12,"Ray",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (32.5 -6.8 -11.5)","1","09:40:43","09:41:06",
Bot12,"Ray",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (-29.7 -6.8 -12.5)","1","09:41:11","09:42:22",
Bot12,"Ray",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (1.8 -6.9 -40.0)","1","09:42:27","09:43:05",
Bot12,"Ray",normal,18,Pending,"Boss Hunter (sectantPriest)","Spawn Point (73.4 -15.5 -38.3)","1","09:43:10","N/A",
Bot25,"Isaias",normal,42,Active,"Is This a Reference?","Zone zone_grass_green","1","09:44:47","N/A",
