Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Lynwood",normal,8,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","22:39:24","22:40:14",
Bot4,"Lynwood",normal,8,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","22:40:19","22:40:29",
Bot4,"Lynwood",normal,8,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:40:34","22:40:49",
Bot4,"Lynwood",normal,8,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:40:54","22:46:59",
Bot4,"Lynwood",normal,8,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","22:47:04","22:47:34",
Bot4,"Lynwood",normal,8,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","22:47:39","22:48:39",
Bot4,"Lynwood",normal,8,Completed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","22:48:44","22:48:54",
Bot4,"Lynwood",normal,8,Active,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","22:48:59","N/A",
Bot3,"Stephan",normal,9,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:39:24","22:39:32",
Bot3,"Stephan",normal,9,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #1","1","22:39:37","22:39:51",
Bot3,"Stephan",normal,9,Completed,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","2","22:39:56","22:40:52",
Bot3,"Stephan",normal,9,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:40:57","22:44:14",
Bot5,"Irwin",normal,3,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:39:26","22:40:07",
Bot5,"Irwin",normal,3,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","22:40:12","22:43:02",
Bot5,"Irwin",normal,3,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","22:43:07","22:43:15",
Bot5,"Irwin",normal,3,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","22:43:20","22:43:21",
Bot5,"Irwin",normal,3,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","22:43:26","22:45:52",
Bot6,"Dario",normal,2,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:39:26","22:46:10",
Bot7,"Павел",normal,11,Failed,"Profit From A Fool's Mistake","Item TerraGroup scientist's hard drive","1","22:39:27","22:45:25",
Bot8,"Харитон",normal,10,Failed,"Profit From A Fool's Mistake","Zone Sandbox_5_Office_exploration","1","22:39:27","22:40:13",
Bot10,"Родион",normal,9,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","22:39:27","22:42:04",
Bot9,"Фёдор",normal,5,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","22:39:27","22:41:53",
Bot15,"Шура Суслик (Sanford)",normal,1,Active,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","22:43:11","N/A",
Bot20,"Иван",normal,3,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","22:44:55","22:47:57",
Bot21,"Всеслав",normal,7,Pending,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","22:44:55","N/A",
Bot22,"Гарик Удмурт (Kelly)",normal,1,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #1","1","22:44:58","22:45:12",
Bot22,"Гарик Удмурт (Kelly)",normal,1,Completed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #2","1","22:45:17","22:45:38",
Bot22,"Гарик Удмурт (Kelly)",normal,1,Failed,"Skyside Hotel Outside","Skyside Hotel Outside: Objective #3","1","22:45:43","22:45:45",
Bot25,"Витян Порноатаман (Carter)",normal,1,Completed,"Kyshperski","Kyshperski: Objective #3","1","22:47:02","22:47:16",
