Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot50,"Malcom",normal,49,Failed,"Is This a Reference?","Zone zone_six_chair","1","03:34:12","03:35:06",
Bot50,"Malcom",normal,49,Failed,"Is This a Reference?","Zone zone_computer","1","03:35:07","03:35:39",
Bot50,"Malcom",normal,49,Failed,"Is This a Reference?","Zone zone_nakatoimi","1","03:35:41","03:39:05",
Bot51,"Натан",normal,47,Active,"Is This a Reference?","Zone zone_nakatoimi","1","03:34:12","N/A",
Bot52,"Ян",normal,38,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","03:34:13","03:37:49",
Bot54,"Даниил",normal,58,Failed,"Boss Hunter (sectantPriest)","Spawn Point (72.8 14.2 5.4)","1","03:34:13","03:37:36",
Bot53,"Аристарх",normal,57,Failed,"Boss Hunter (sectantPriest)","Spawn Point (72.8 14.2 5.4)","1","03:34:13","03:37:41",
Bot64,"Anton",normal,59,Completed,"Capital Insight","Capital Insight: Objective #3","1","03:38:55","03:38:58",
Bot64,"Anton",normal,59,Pending,"Capital Insight","Capital Insight: Objective #1","1","03:39:03","N/A",
Bot65,"Chris",normal,45,Failed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","1","03:38:55","03:47:02",
Bot66,"Danny",normal,49,Failed,"Is This a Reference?","Zone zone_computer","1","03:39:04","03:42:15",
Bot76,"Jerald",normal,27,Active,"Is This a Reference?","Zone zone_computer","1","03:45:53","N/A",
Bot77,"Antone",normal,48,Failed,"Capital Insight","Capital Insight: Objective #4","1","03:45:53","03:50:52",
