Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot20,"Родион",normal,30,Active,"Courtesy Visit","Zone huntsman_024_3","1","19:42:35","N/A",
Bot22,"Brett",normal,16,Completed,"Boss Hunter (bossKojaniy)","Spawn Point (-638.3 -59.2 423.5)","1","19:42:35","19:42:54",
Bot22,"Brett",normal,16,Completed,"Boss Hunter (bossKojaniy)","Spawn Point (-663.5 -59.6 496.9)","1","19:43:00","19:43:52",
Bot22,"Brett",normal,16,Completed,"Boss Hunter (bossKojaniy)","Spawn Point (-665.6 -53.9 420.3)","1","19:43:57","19:47:44",
Bot22,"Brett",normal,16,Completed,"Boss Hunter (bossKojaniy)","Spawn Point (-697.6 -59.6 497.7)","1","19:47:50","19:48:28",
Bot22,"Brett",normal,16,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","19:48:33","19:51:06",
Bot22,"Brett",normal,16,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","19:51:17","19:53:22",
Bot22,"Brett",normal,16,Active,"Signal - Part 3","Zone place_SIGNAL_03_2","1","19:53:32","N/A",
Bot24,"Armand",normal,32,Failed,"Colleagues - Part 2","Item Surgery kit marked with a blue symbol","1","19:42:35","19:44:18",
Bot21,"Gerald",normal,24,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","19:42:35","19:43:55",
Bot21,"Gerald",normal,24,Failed,"Humanitarian Supplies","Zone place_peacemaker_005_N1","1","19:44:25","19:44:50",
Bot23,"Thad",normal,28,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","19:42:35","19:48:17",
Bot23,"Thad",normal,28,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","19:48:22","19:52:29",
Bot23,"Thad",normal,28,Failed,"Vitamins - Part 1","Item Chemical container #1","1","19:52:34","19:53:20",
Bot23,"Thad",normal,28,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","19:53:25","19:53:57",
Bot23,"Thad",normal,28,Failed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","19:54:02","19:55:58",
Bot26,"Jackie",normal,20,Completed,"Courtesy Visit","Zone huntsman_024_1","1","19:42:36","19:43:15",
Bot26,"Jackie",normal,20,Failed,"Courtesy Visit","Zone huntsman_024_2","1","19:43:20","19:45:13",
Bot25,"Alvin",normal,6,Failed,"Small Business - Part 3","Zone unkown_mark_2","2","19:42:36","19:49:14",
Bot47,"Ефрем",normal,16,Completed,"Small Business - Part 3","Zone place_peacemaker_007_2_N3","2","19:54:25","19:56:47",
Bot47,"Ефрем",normal,16,Completed,"Small Business - Part 3","Zone unkown_mark_2","2","19:56:52","20:03:35",
Bot47,"Ефрем",normal,16,Active,"Lighthouse Extract Sniper Area","Lighthouse Extract Sniper Area: Objective #1","1","20:03:40","N/A",
Bot48,"Филат",normal,25,Completed,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N1","1","19:54:25","19:54:41",
Bot48,"Филат",normal,25,Completed,"Spa Tour - Part 2","Zone place_peacemaker_008_2_N2","1","19:55:11","19:57:24",
Bot48,"Филат",normal,25,Failed,"Cargo X - Part 1","Item Toughbook reinforced laptop","1","19:57:54","19:58:21",
Bot48,"Филат",normal,25,Failed,"Chemistry Closet","Zone place_meh_sanitar_room","1","19:58:26","19:58:46",
Bot48,"Филат",normal,25,Completed,"Health Care Privacy - Part 2","Item Secure Folder 0060","1","19:58:51","20:01:43",
Bot48,"Филат",normal,25,Active,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","20:03:45","N/A",
Bot46,"Николай",normal,26,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","19:54:25","19:54:36",
Bot46,"Николай",normal,26,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","19:54:41","20:03:24",
Bot46,"Николай",normal,26,Completed,"Weather Station Tower Base","Weather Station Tower Base: Objective #1","1","20:03:29","20:03:35",
Bot46,"Николай",normal,26,Failed,"Weather Station Sniping","Weather Station Sniping: Objective #1","1","20:03:40","20:03:56",
Bot46,"Николай",normal,26,Failed,"Weather Station","Weather Station: Objective #1","1","20:03:57","20:04:12",
Bot46,"Николай",normal,26,Failed,"Weather Station","Weather Station: Objective #2","1","20:04:17","20:04:18",
Bot46,"Николай",normal,26,Active,"Tank on Bridge","Tank on Bridge: Objective #1","1","20:04:23","N/A",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 3rd Floor","Resort West Wing 3rd Floor: Objective #6","1","19:54:25","19:54:35",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 3rd Floor","Resort West Wing 3rd Floor: Objective #5","1","19:54:41","19:54:59",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 3rd Floor","Resort West Wing 3rd Floor: Objective #4","1","19:55:04","19:56:15",
Bot45,"Ростислав",normal,8,Completed,"Resort West Wing 3rd Floor","Resort West Wing 3rd Floor: Objective #3","1","19:56:20","19:56:53",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 3rd Floor","Resort West Wing 3rd Floor: Objective #2","1","19:56:58","19:57:41",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 3rd Floor","Resort West Wing 3rd Floor: Objective #1","1","19:57:46","19:58:15",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #5","1","19:58:20","19:58:32",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #1","1","19:58:37","19:58:46",
Bot45,"Ростислав",normal,8,Completed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #4","1","19:58:51","20:02:59",
Bot45,"Ростислав",normal,8,Failed,"Resort West Wing 2nd Floor","Resort West Wing 2nd Floor: Objective #2","1","20:03:04","20:03:43",
Bot45,"Ростислав",normal,8,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #2","1","20:03:48","20:04:21",
Bot45,"Ростислав",normal,8,Completed,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","20:04:26","20:04:32",
Bot45,"Ростислав",normal,8,Active,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #3","1","20:04:37","N/A",
Bot53,"Geoffrey",normal,30,Completed,"Gas Station Sniping","Gas Station Sniping: Objective #3","2","20:00:28","20:03:29",
Bot53,"Geoffrey",normal,30,Completed,"Gas Station Sniping","Gas Station Sniping: Objective #2","2","20:03:34","20:04:43",
Bot53,"Geoffrey",normal,30,Active,"Gas Station Sniping","Gas Station Sniping: Objective #1","1","20:04:48","N/A",
Bot56,"Витек Неформал (Trevor)",normal,1,Pending,"Church","Church: Objective #1","1","20:01:31","N/A",
