Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot120,"Богдан",normal,51,Active,"Beluga","Beluga: Objective #4","1","15:19:46","N/A",
Bot121,"Альберт",normal,50,Pending,"Beluga","Beluga: Objective #4","1","15:19:47","N/A",
Bot122,"King",normal,43,Active,"Properties All Around","Zone fond_quest","1","15:19:48","N/A",
Bot123,"Raul",normal,31,Pending,"New Day New Paths","Zone Check_primorsky","1","15:19:48","N/A",
Bot124,"Seth",normal,41,Active,"Debtor","Zone quest_zone_c29_debt","1","15:19:50","N/A",
Bot126,"Lamont",normal,29,Pending,"Gendarmerie - District Patrol","Zone quest_zone_kill_kardinal","1","15:19:50","N/A",
Bot125,"Jarred",normal,52,Pending,"Primorksy 46","Primorksy 46: Objective #4","1","15:19:50","N/A",
Bot127,"Лаврентий",normal,35,Active,"Surveillance","Item Working hard drive","1","15:20:57","N/A",
Bot129,"Agustin",normal,58,Active,"House Arrest - Part 1","Zone quest_zone_c8_dom1","1","15:19:57","N/A",
Bot128,"Родион",normal,53,Completed,"Boss Hunter (bossKilla)","Spawn Point (208.6 -1.2 350.4)","1","15:20:57","15:33:15",
Bot128,"Родион",normal,53,Completed,"Boss Hunter (bossKilla)","Spawn Point (207.8 3.5 404.6)","1","15:33:20","15:33:44",
Bot128,"Родион",normal,53,Completed,"Boss Hunter (bossKilla)","Spawn Point (210.9 -1.2 350.2)","1","15:33:49","15:34:06",
Bot128,"Родион",normal,53,Failed,"Boss Hunter (bossKilla)","Spawn Point (200.8 3.5 405.0)","1","15:34:11","15:41:03",
Bot128,"Родион",normal,53,Completed,"Lexos Offices","Lexos Offices: Objective #4","1","15:41:08","15:42:26",
Bot128,"Родион",normal,53,Failed,"Lexos Offices","Lexos Offices: Objective #2","1","15:42:31","15:42:42",
Bot128,"Родион",normal,53,Failed,"Lexos Offices","Lexos Offices: Objective #5","1","15:42:47","15:42:48",
Bot128,"Родион",normal,53,Active,"Lexos Offices","Lexos Offices: Objective #1","1","15:42:53","N/A",
Bot135,"Gerry",normal,55,Failed,"Spotter","Zone quest_zone_keeper8_2","1","15:25:29","15:25:31",
Bot135,"Gerry",normal,55,Failed,"Spotter","Zone quest_zone_keeper8_1_hide2","1","15:25:36","15:25:46",
Bot135,"Gerry",normal,55,Failed,"Spotter","Zone quest_zone_keeper8_1","1","15:25:51","15:26:01",
Bot135,"Gerry",normal,55,Failed,"Spotter","Zone quest_zone_keeper8_1_hide1","1","15:26:06","15:29:18",
Bot135,"Gerry",normal,55,Active,"Primorksy 46","Primorksy 46: Objective #5","1","15:29:23","N/A",
Bot137,"Арсений",normal,50,Active,"Pyramid Scheme","Zone Bank_points_1","1","15:26:45","N/A",
Bot136,"Антон",normal,54,Active,"Pyramid Scheme","Zone Bank_points_1","1","15:26:45","N/A",
Bot149,"Joey",normal,35,Completed,"Pyramid Scheme","Zone Bank_points_6","1","15:31:48","15:34:00",
Bot149,"Joey",normal,35,Active,"Pyramid Scheme","Zone Bank_points_5","1","15:34:06","N/A",
Bot150,"Jorge",normal,44,Pending,"Dandies","Zone quest_zone_hide_barber2","1","15:31:48","N/A",
