Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Supply Plans,"Item Secure Folder 0052",1,13,31,"(-3.3, -1.5, -80.6)"
The Cult - Part 2,"Zone place_peacemaker_007_2_N2",1,18,41,"(196.0, 0.4, -7.2)"
The Cult - Part 2,"Zone place_peacemaker_007_2_N2_1",1,18,41,"(-88.7, 12.4, -717.6)"
Health Care Privacy - Part 3,"Zone ter_015_area_1",1,20,45,"(-99.6, -14.5, 218.6)"
Health Care Privacy - Part 3,"Item Blood sample",1,20,45,"(-94.5, -16.4, 218.5)"
Gratitude,"Zone place_THX_15",2,15,35,"(23.1, -16.2, 99.8)"
Informed Means Armed,"Zone place_skier_11_1",2,24,51,"(31.1, -13.8, 83.0)"
Lend-Lease - Part 1,"Item Motor Controller #1",1,25,53,"(232.9, -2.2, -69.8)"
Lend-Lease - Part 1,"Item Single-axis Fiber Optic Gyroscope #1",1,25,53,"(57.2, -2.6, -49.4)"
Chumming,"Zone place_skier_12_3",2,24,51,"(-6.4, -1.5, -74.8)"
The Blood of War - Part 3,"Zone bar_fuel3_1",1,30,60,"(356.6, -0.5, -87.2)"
The Blood of War - Part 3,"Zone bar_fuel3_2",1,30,60,"(-325.4, 14.4, 25.2)"
The Blood of War - Part 3,"Zone bar_fuel3_3",1,30,60,"(-200.5, 30.3, -211.7)"
Introduction,"Zone huntsman_001",1,2,11,"(-256.0, 8.5, 9.8)"
Introduction,"Item Encrypted message",1,2,11,"(-256.7, 8.6, 7.9)"
The Survivalist Path - Thrifty,"Zone huntsman_005_1",2,2,11,"(-386.5, 3.3, 22.6)"
The Survivalist Path - Thrifty,"Zone huntsman_005_2",2,2,11,"(448.3, -14.1, 71.1)"
Search Mission,"Zone pr_scout_col",1,5,17,"(195.6, 11.0, -595.8)"
Search Mission,"Zone pr_scout_base",1,5,17,"(283.1, 23.0, -439.4)"
Capturing Outposts,"Zone prapor_27_2",1,42,82,"(-185.1, 1.1, 224.4)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_1",1,33,66,"(222.2, 20.2, -706.6)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_2",1,33,66,"(-156.1, 51.2, -273.3)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_3",1,33,66,"(-157.8, 46.0, -233.2)"
Assessment - Part 2,"Zone meh_45_radio_area_mark_4",1,33,66,"(445.4, -14.2, 68.1)"
Return the Favor,"Zone quest_zone_keeper5",2,33,66,"(-286.3, 45.2, -255.9)"
Return the Favor,"Zone place_keeper5_1",2,33,66,"(289.4, 22.9, -438.0)"
Return the Favor,"Zone place_keeper5_2",2,33,66,"(293.0, 22.9, -508.5)"
Steady Signal,"Zone q14_8_1",1,15,35,"(412.7, 12.9, -608.5)"
Steady Signal,"Zone q14_8_2",1,15,35,"(-209.2, 76.1, -278.5)"
Steady Signal,"Zone q14_8_3",1,15,35,"(-96.9, 13.1, -542.0)"
Steady Signal,"Zone q14_8_4",1,15,35,"(248.5, -10.4, 292.8)"
Steady Signal,"Zone q14_8_5",1,15,35,"(-447.4, 1.0, 249.1)"
Easy Money - Part 1,"Item Bison VS Undertaker poster pack",1,3,13,"(296.1, 22.9, -506.0)"
Thirsty - Delivery,"Zone place_2A2_unlock_3_woods",2,15,35,"(227.8, 20.2, -706.1)"
Small Business - Part 3,"Zone place_peacemaker_007_2_N2",2,0,99,"(196.0, 0.4, -7.2)"
Small Business - Part 3,"Zone place_peacemaker_007_2_N2_1",2,0,99,"(-88.7, 12.4, -717.6)"
Viewer,"Zone NosQuests_8_wood_place",2,27,56,"(-218.2, 63.6, -225.4)"
Proper Comeback,"Zone NosQuests_11_wood_place",2,27,56,"(-220.7, 62.8, -219.0)"
One Less Loose End,"Zone nf2024_1",2,15,35,"(-512.1, 16.0, -178.9)"
Special Comms,"Zone Place_item_tools_woods",2,19,43,"(-120.1, -1.3, 400.6)"
Rough Tarkov,"Zone Woods_mine_quest",1,2,11,"(340.3, 18.6, -484.5)"
Is This a Reference?,"Zone Bear_in_car",2,25,53,"(-116.1, 21.8, -464.7)"
Provide Cover,"Zone em_quest4_1",2,2,11,"(-534.2, 18.2, -208.0)"
Radical Treatment,"Zone Halloween_zone_for_antivirus(woods)",2,2,11,"(-91.8, 7.6, -631.5)"
The Next Lead,"Item Encrypted message",1,10,25,"(-256.7, 8.6, 7.9)"
Cooperation Is Important,"Zone meh_45_radio_area_mark_4",2,5,17,"(445.4, -14.2, 68.1)"
Clear Signs,"Zone ter_015_area_1",1,10,25,"(-99.6, -14.5, 218.6)"
Spawn Point Wander,"Spawn Point (370.7 17.3 -595.7)",1,0,99,"(370.7, 17.3, -595.7)"
Spawn Point Wander,"Spawn Point (487.4 -18.7 331.3)",1,0,99,"(487.4, -18.7, 331.3)"
Spawn Point Wander,"Spawn Point (365.9 13.9 -698.1)",1,0,99,"(365.9, 13.9, -698.1)"
