Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot7,"Marshall",normal,30,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","21:07:20","21:10:28",
Bot7,"Marshall",normal,30,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","21:10:58","21:12:23",
Bot7,"Marshall",normal,30,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","21:12:53","21:17:04",
Bot7,"Marshall",normal,30,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","21:17:34","21:22:47",
Bot8,"Courtney",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (318.8 -8.4 352.1)","1","21:07:24","21:07:54",
Bot8,"Courtney",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (213.5 -14.7 292.0)","1","21:07:59","21:08:48",
Bot8,"Courtney",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (90.3 -15.8 116.2)","1","21:08:53","21:10:39",
Bot8,"Courtney",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (63.2 -7.6 35.2)","1","21:10:44","21:11:26",
Bot8,"Courtney",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (125.9 0.3 4.9)","1","21:11:31","21:12:02",
Bot8,"Courtney",normal,18,Completed,"Boss Hunter (sectantPriest)","Spawn Point (87.8 -15.9 114.4)","1","21:12:07","21:12:52",
Bot8,"Courtney",normal,18,Completed,"Gratitude","Zone place_THX_15","2","21:12:57","21:14:12",
Bot8,"Courtney",normal,18,Completed,"Supply Plans","Item Secure Folder 0052","1","21:14:17","21:15:37",
Bot8,"Courtney",normal,18,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","21:15:42","21:18:20",
Bot8,"Courtney",normal,18,Active,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","21:18:50","N/A",
Bot9,"Buck",normal,43,Completed,"Is This a Reference?","Zone Bear_in_car","2","21:07:25","21:09:21",
Bot9,"Buck",normal,43,Completed,"Small Business - Part 3","Zone place_peacemaker_007_2_N2_1","2","21:09:26","21:11:54",
Bot9,"Buck",normal,43,Active,"Small Business - Part 3","Zone place_peacemaker_007_2_N2","2","21:11:59","N/A",
Bot10,"Richard",normal,17,Pending,"Cooperation Is Important","Zone meh_45_radio_area_mark_4","1","21:07:25","N/A",
Bot12,"Otha",normal,19,Failed,"Boss Hunter (bossKnight)","Spawn Point (242.9 1.5 -164.3)","1","21:08:03","21:10:19",
Bot14,"Bernie",normal,21,Completed,"Steady Signal","Zone q14_8_5","1","21:08:03","21:09:08",
Bot14,"Bernie",normal,21,Completed,"Steady Signal","Zone q14_8_2","1","21:09:38","21:14:54",
Bot14,"Bernie",normal,21,Completed,"One Less Loose End","Zone nf2024_1","2","21:15:25","21:17:49",
Bot14,"Bernie",normal,21,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","21:17:54","21:18:15",
Bot14,"Bernie",normal,21,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","21:18:20","21:19:09",
Bot14,"Bernie",normal,21,Failed,"Old Sawmill","Old Sawmill: Objective #2","2","21:19:14","21:19:51",
Bot14,"Bernie",normal,21,Completed,"Old Sawmill","Old Sawmill: Objective #4","3","21:19:56","21:20:25",
Bot14,"Bernie",normal,21,Completed,"Old Sawmill","Old Sawmill: Objective #5","1","21:20:30","21:20:53",
Bot14,"Bernie",normal,21,Active,"Gratitude","Zone place_THX_15","1","21:20:58","N/A",
Bot13,"Jae",normal,18,Failed,"Steady Signal","Zone q14_8_5","1","21:08:03","21:09:05",
Bot15,"Всеволод",normal,43,Completed,"Chumming","Zone place_skier_12_3","2","21:08:37","21:09:37",
Bot15,"Всеволод",normal,43,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","21:09:42","21:10:48",
