Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot10,"Олег Мавр (Gabriel)",normal,1,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","15:58:12","16:06:46",
Bot10,"Олег Мавр (Gabriel)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","16:06:52","16:09:44",
Bot10,"Олег Мавр (Gabriel)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","16:09:49","16:09:49",
Bot10,"Олег Мавр (Gabriel)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","16:09:54","16:09:56",
Bot10,"Олег Мавр (Gabriel)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","16:10:02","16:10:10",
Bot10,"Олег Мавр (Gabriel)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","16:10:16","16:10:20",
Bot10,"Олег Мавр (Gabriel)",normal,1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","16:10:25","16:10:34",
Bot10,"Олег Мавр (Gabriel)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","16:10:39","16:10:39",
Bot10,"Олег Мавр (Gabriel)",normal,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","16:10:44","16:10:54",
Bot10,"Олег Мавр (Gabriel)",normal,1,Active,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","16:10:59","N/A",
Bot12,"Kelly",normal,15,Failed,"Farming - Part 3","Item Package of graphics cards","1","15:58:14","15:58:28",
Bot12,"Kelly",normal,15,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","15:58:33","15:58:45",
Bot12,"Kelly",normal,15,Failed,"Delivery From the Past","Item Secure Folder 0022","1","15:58:50","15:58:56",
Bot12,"Kelly",normal,15,Completed,"Giving Trunk","Giving Trunk: Objective #1","1","15:59:01","15:59:32",
Bot13,"Abdul",normal,13,Pending,"Big Red","Big Red: Objective #4","1","15:58:14","N/A",
Bot14,"Derek",normal,10,Failed,"BP Depot","Zone fuel2","1","15:58:16","16:07:28",
Bot15,"Phillip",normal,12,Pending,"Golden Swag","Zone extraction_zone_zibbo","1","15:58:20","N/A",
Bot16,"Buddy",normal,8,Pending,"Delivery From the Past","Item Secure Folder 0022","1","15:58:21","N/A",
