Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Иосиф",normal,43,Completed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","20:23:29","20:23:31",
Bot4,"Максим",normal,34,Active,"One Less Loose End","Item Lab journal","1","20:23:30","N/A",
Bot5,"Спиридон",normal,44,Failed,"Medical Office","Medical Office: Objective #1","1","20:23:30","20:24:28",
Bot6,"Ефрем",normal,9,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","20:23:35","20:24:03",
Bot7,"Корней",normal,31,Failed,"TerraGroup Storage Room","TerraGroup Storage Room: Objective #1","1","20:23:35","20:26:14",
Bot9,"Kendall",normal,43,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","20:23:36","20:24:17",
Bot8,"Aurelio",normal,44,Failed,"Is This a Reference?","Zone zone_Always_sunny","1","20:23:36","20:24:13",
Bot10,"Kerry",normal,52,Failed,"Proper Comeback","Zone NosQuests_11_factory_place","1","20:23:39","20:27:46",
Bot13,"Жора Хворостовский (Titus)",normal,1,Failed,"Lower Platform Gate 0 Sniping","Lower Platform Gate 0 Sniping: Objective #1","1","20:27:48","20:27:54",
Bot13,"Жора Хворостовский (Titus)",normal,1,Pending,"Lower Platform Gate 0 Sniping","Lower Platform Gate 0 Sniping: Objective #2","1","20:27:59","N/A",
