Quest Name,Objective,Steps,Min Level,Max Level,First Step Position
Delivery From the Past,"Zone case_extraction",2,5,17,"(42.2, 4.4, 40.6)"
Bad Rep Evidence,"Zone locked_office",1,6,18,"(28.8, 8.3, 38.9)"
Postman Pat - Part 1,"Item Sealed letter",1,10,25,"(-20.0, 0.1, 21.9)"
Chemical - Part 3,"Item Syringe with a chemical",1,11,27,"(23.4, 8.5, 39.0)"
Health Care Privacy - Part 5,"Zone ter_017_area_1",2,20,45,"(25.9, 9.1, 39.4)"
Farming - Part 1,"Zone place_SADOVOD_01_1",2,12,29,"(68.1, 0.1, -6.4)"
Farming - Part 1,"Zone place_SADOVOD_01_2",2,12,29,"(60.0, 0.2, -49.1)"
Scout,"Zone place_pacemaker_SCOUT_01",1,12,29,"(65.9, -2.6, -28.5)"
Scout,"Zone place_pacemaker_SCOUT_02",1,12,29,"(-52.4, 1.3, 58.8)"
Scout,"Zone place_pacemaker_SCOUT_03",1,12,29,"(59.7, 0.3, 57.0)"
Scout,"Zone place_pacemaker_SCOUT_04",1,12,29,"(-18.4, 0.3, -49.0)"
The Huntsman Path - Secured Perimeter,"Zone huntsman_013",1,2,11,"(25.1, 9.3, 41.0)"
One Less Loose End,"Item Lab journal",1,15,35,"(29.3, 3.8, -29.5)"
Forklift Certified,"Zone nf2024_2_1",1,12,29,"(62.7, 0.3, 21.5)"
Forklift Certified,"Zone nf2024_2_2",1,12,29,"(73.6, 0.1, -37.3)"
Forklift Certified,"Zone nf2024_2_3",1,12,29,"(65.0, 0.1, -50.6)"
Forklift Certified,"Zone nf2024_2_4",1,12,29,"(-30.3, 1.4, 58.7)"
Forklift Certified,"Zone nf2024_2_5",1,12,29,"(24.4, 0.1, -24.9)"
Forklift Certified,"Zone nf2024_2_6",1,12,29,"(24.0, 0.1, -29.6)"
Forklift Certified,"Zone nf2024_2_7",1,12,29,"(13.6, 0.4, 29.2)"
Forklift Certified,"Zone nf2024_2_8",1,12,29,"(-13.8, 1.1, 33.7)"
Forklift Certified,"Zone nf2024_2_9",1,12,29,"(12.4, 0.1, -29.0)"
Forklift Certified,"Zone nf2024_2_10",1,12,29,"(52.1, 0.1, -21.6)"
Forklift Certified,"Zone nf2024_2_11",1,12,29,"(17.0, 0.1, -15.2)"
Forklift Certified,"Zone nf2024_2_12",1,12,29,"(57.4, 0.3, 60.2)"
Claustrophobia,"Zone nf2024_4_zone_kill1",1,2,11,"(8.0, -0.8, 43.2)"
Possessor,"Item Pilot logbook",1,10,25,"(26.4, 7.3, -2.6)"
Black Swan,"Zone nf2024_6_beacon_1",1,12,29,"(-18.0, -2.5, 35.6)"
Black Swan,"Zone nf2024_6_beacon_2",1,12,29,"(34.9, -2.7, -5.0)"
Black Swan,"Zone nf2024_6_beacon_3",1,12,29,"(44.6, -2.7, -35.4)"
The Walls Have Eyes,"Zone nf2024_7_1",2,12,29,"(62.9, 5.3, 35.4)"
The Walls Have Eyes,"Zone nf2024_7_2",2,12,29,"(-6.0, 4.9, -33.5)"
The Walls Have Eyes,"Zone nf2024_7_3",2,12,29,"(-24.1, 5.3, 59.5)"
All Is Revealed,"Item Chemical sample",1,12,29,"(-4.8, -2.6, 18.6)"
Dragnet,"Item Chemical container",1,15,35,"(-21.7, -2.6, 45.0)"
Capacity Check,"Zone nf2024_10_1",2,12,29,"(18.2, 3.8, 7.2)"
Capacity Check,"Zone nf2024_10_2",2,12,29,"(7.9, 3.8, 6.1)"
Capacity Check,"Zone nf2024_10_3",2,12,29,"(-3.9, 3.8, 7.2)"
Health Care Privacy - Part 6,"Item Blood sample",1,20,45,"(-19.5, 0.3, -52.2)"
Secrets of Polikhim,"Zone Place_accurate_tools",2,12,29,"(28.1, 0.2, -34.4)"
Every Hunter Knows This,"Zone Check_mine_zone_factory",1,2,11,"(24.3, 8.1, 38.7)"
Is This a Reference?,"Zone zone_451",2,25,53,"(16.8, 1.4, 42.0)"
Is This a Reference?,"Zone zone_half-life",2,25,53,"(21.0, -2.7, 12.8)"
Is This a Reference?,"Zone zone_terminator",2,25,53,"(-47.7, 1.2, 61.1)"
Is This a Reference?,"Zone zone_Always_sunny",2,25,53,"(27.8, 8.1, 38.6)"
Is This a Reference?,"Zone zone_harry_potter",2,25,53,"(52.5, 0.1, -17.1)"
Is This a Reference?,"Zone zone_sapper",2,25,53,"(30.4, 3.6, -31.0)"
Is This a Reference?,"Zone zone_stairway",2,25,53,"(60.2, 0.3, 50.4)"
Radical Treatment,"Zone Halloween_zone_for_antivirus(factory)",2,2,11,"(-26.9, -4.6, -27.9)"
A Surprising Find,"Item Sealed letter",1,10,25,"(-20.0, 0.1, 21.9)"
An Interesting Opportunity,"Item Sealed letter",1,10,25,"(-20.0, 0.1, 21.9)"
Ideal For Someone With Taste - Part 1,"Zone case_extraction",2,5,17,"(42.2, 4.4, 40.6)"
Spawn Point Wander,"Spawn Point (-45.4 0.3 5.6)",1,0,99,"(-45.4, 0.3, 5.6)"
Spawn Point Wander,"Spawn Point (13.8 -2.3 -21.7)",1,0,99,"(13.8, -2.3, -21.7)"
Spawn Point Wander,"Spawn Point (11.2 0.0 -42.1)",1,0,99,"(11.2, 0.0, -42.1)"
Spawn Point Wander,"Spawn Point (42.4 -2.6 -8.3)",1,0,99,"(42.4, -2.6, -8.3)"
Spawn Point Wander,"Spawn Point (56.9 0.3 52.6)",1,0,99,"(56.9, 0.3, 52.6)"
Spawn Point Wander,"Spawn Point (-43.8 0.3 6.7)",1,0,99,"(-43.8, 0.3, 6.7)"
Spawn Point Wander,"Spawn Point (12.6 0.0 -42.5)",1,0,99,"(12.6, 0.0, -42.5)"
Spawn Point Wander,"Spawn Point (58.2 0.3 51.3)",1,0,99,"(58.2, 0.3, 51.3)"
Spawn Point Wander,"Spawn Point (15.7 4.6 39.0)",1,0,99,"(15.7, 4.6, 39.0)"
Spawn Point Wander,"Spawn Point (-46.7 0.3 8.4)",1,0,99,"(-46.7, 0.3, 8.4)"
Spawn Point Wander,"Spawn Point (70.8 0.3 -72.8)",1,0,99,"(70.8, 0.3, -72.8)"
Spawn Point Wander,"Spawn Point (-20.8 0.2 22.8)",1,0,99,"(-20.8, 0.2, 22.8)"
Spawn Point Wander,"Spawn Point (31.6 0.1 18.3)",1,0,99,"(31.6, 0.1, 18.3)"
Spawn Point Wander,"Spawn Point (32.3 0.1 -34.0)",1,0,99,"(32.3, 0.1, -34.0)"
Spawn Point Wander,"Spawn Point (57.9 0.3 49.6)",1,0,99,"(57.9, 0.3, 49.6)"
Spawn Point Wander,"Spawn Point (-19.2 -3.8 -4.9)",1,0,99,"(-19.2, -3.8, -4.9)"
Spawn Point Wander,"Spawn Point (-16.9 0.3 -39.4)",1,0,99,"(-16.9, 0.3, -39.4)"
Spawn Point Wander,"Spawn Point (-42.4 0.3 7.4)",1,0,99,"(-42.4, 0.3, 7.4)"
Spawn Point Wander,"Spawn Point (27.8 0.1 20.6)",1,0,99,"(27.8, 0.1, 20.6)"
Spawn Point Wander,"Spawn Point (71.7 0.3 -71.4)",1,0,99,"(71.7, 0.3, -71.4)"
Spawn Point Wander,"Spawn Point (-17.0 0.3 -41.3)",1,0,99,"(-17.0, 0.3, -41.3)"
Spawn Point Wander,"Spawn Point (14.6 4.6 39.7)",1,0,99,"(14.6, 4.6, 39.7)"
Spawn Point Wander,"Spawn Point (-22.2 2.7 23.8)",1,0,99,"(-22.2, 2.7, 23.8)"
Spawn Point Wander,"Spawn Point (-3.3 -3.9 -17.5)",1,0,99,"(-3.3, -3.9, -17.5)"
Spawn Point Wander,"Spawn Point (12.6 1.8 60.2)",1,0,99,"(12.6, 1.8, 60.2)"
Spawn Point Wander,"Spawn Point (-16.8 0.3 -37.4)",1,0,99,"(-16.8, 0.3, -37.4)"
Spawn Point Wander,"Spawn Point (7.9 0.0 -44.6)",1,0,99,"(7.9, 0.0, -44.6)"
Spawn Point Wander,"Spawn Point (-44.2 1.2 48.4)",1,0,99,"(-44.2, 1.2, 48.4)"
Spawn Point Wander,"Spawn Point (-17.7 0.3 -43.2)",1,0,99,"(-17.7, 0.3, -43.2)"
Spawn Point Wander,"Spawn Point (-42.6 1.3 48.4)",1,0,99,"(-42.6, 1.3, 48.4)"
Spawn Point Wander,"Spawn Point (35.5 8.2 36.4)",1,0,99,"(35.5, 8.2, 36.4)"
Spawn Point Wander,"Spawn Point (-46.3 0.3 7.0)",1,0,99,"(-46.3, 0.3, 7.0)"
Spawn Point Wander,"Spawn Point (-5.9 -3.9 -14.2)",1,0,99,"(-5.9, -3.9, -14.2)"
Spawn Point Wander,"Spawn Point (-0.1 -3.9 -12.2)",1,0,99,"(-0.1, -3.9, -12.2)"
Spawn Point Wander,"Spawn Point (8.1 0.1 -8.6)",1,0,99,"(8.1, 0.1, -8.6)"
Spawn Point Wander,"Spawn Point (21.4 -2.7 -14.6)",1,0,99,"(21.4, -2.7, -14.6)"
Spawn Point Wander,"Spawn Point (70.0 0.3 -71.4)",1,0,99,"(70.0, 0.3, -71.4)"
Spawn Point Wander,"Spawn Point (4.7 0.0 -35.1)",1,0,99,"(4.7, 0.0, -35.1)"
Spawn Point Wander,"Spawn Point (59.5 -2.6 6.8)",1,0,99,"(59.5, -2.6, 6.8)"
Spawn Point Wander,"Spawn Point (10.0 0.0 -42.2)",1,0,99,"(10.0, 0.0, -42.2)"
Spawn Point Wander,"Spawn Point (10.2 1.1 58.8)",1,0,99,"(10.2, 1.1, 58.8)"
Spawn Point Wander,"Spawn Point (20.2 -2.7 -16.4)",1,0,99,"(20.2, -2.7, -16.4)"
