Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot43,"David",normal,54,Active,"Boss Hunter (sectantPriest)","Spawn Point (-248.8 4.2 -362.2)","1","12:25:46","N/A",
Bot44,"Sterling",normal,47,Pending,"Red Room","Red Room: Objective #1","1","12:25:46","N/A",
Bot45,"Irvin",normal,55,Pending,"Security Office","Security Office: Objective #2","1","12:25:46","N/A",
Bot47,"Graham",normal,27,Active,"Spawn Rush","Spawn Rush: Objective #1","1","12:25:47","N/A",
Bot46,"Agustin",normal,47,Active,"Boss Hunter (bossKilla)","Spawn Point (-258.0 0.0 -385.5)","1","12:25:47","N/A",
Bot48,"Фаддей",normal,47,Failed,"Black Room","Black Room: Objective #2","1","12:25:49","12:25:50",
Bot48,"Фаддей",normal,47,Pending,"Black Room","Black Room: Objective #3","1","12:25:55","N/A",
Bot49,"Юрий",normal,52,Pending,"Board Room","Board Room: Objective #1","1","12:25:49","N/A",
Bot53,"Bob",normal,49,Completed,"Security Office","Security Office: Objective #2","1","12:31:19","12:32:01",
Bot53,"Bob",normal,49,Pending,"Security Office","Security Office: Objective #1","1","12:32:07","N/A",
Bot54,"Karl",normal,30,Completed,"Security Office","Security Office: Objective #2","1","12:31:19","12:31:57",
Bot54,"Karl",normal,30,Active,"Security Office","Security Office: Objective #1","1","12:32:02","N/A",
Bot52,"Michael",normal,42,Failed,"Red Room","Red Room: Objective #1","1","12:31:19","12:31:45",
Bot52,"Michael",normal,42,Failed,"Violet Room","Violet Room: Objective #1","1","12:31:50","12:32:09",
Bot52,"Michael",normal,42,Pending,"Cafeteria","Cafeteria: Objective #1","1","12:32:14","N/A",
